company_id,year,roe_difference,roce_difference,category
BAJAJ-AUTO,Mar 2022,5.850000000000001,12.850000000000001,Formula Difference
BAJAJ-AUTO,Mar 2022,5.850000000000001,12.850000000000001,Formula Difference
BAJAJ-AUTO,Mar 2023,5.859999999999999,12.86,Formula Difference
BAJAJ-AUTO,Mar 2023,5.859999999999999,12.86,Formula Difference
BAJAJ-AUTO,Mar 2024,0.10999999999999943,6.890000000000001,Formula Difference
BAJAJ-AUTO,Mar 2024,0.10999999999999943,6.890000000000001,Formula Difference
AXISBANK,Mar 2013,2.7799999999999994,8.559999999999999,Formula Difference
AXISBANK,Mar 2014,2.2099999999999973,9.130000000000003,Formula Difference
AXISBANK,Mar 2015,2.0299999999999976,9.310000000000002,Formula Difference
AXISBANK,Mar 2016,3.039999999999999,8.3,Formula Difference
AXISBANK,Mar 2017,11.869999999999997,0.5299999999999994,Formula Difference
AXISBANK,Mar 2018,17.97,6.63,Formula Difference
AXISBANK,Mar 2019,11.499999999999998,0.15999999999999925,Formula Difference
AXISBANK,Mar 2020,16.52,5.18,Formula Difference
AXISBANK,Mar 2021,12.04,0.6999999999999993,Formula Difference
AXISBANK,Mar 2022,7.389999999999999,3.95,Formula Difference
AXISBANK,Mar 2023,11.02,0.3200000000000003,Formula Difference
AXISBANK,Mar 2024,2.5699999999999985,8.77,Formula Difference
BAJAJFINSV,Mar 2013,16.659999999999997,7.239999999999998,Formula Difference
BAJAJFINSV,Mar 2014,11.81,2.3900000000000006,Formula Difference
BAJAJFINSV,Mar 2015,9.999999999999998,0.5799999999999983,Formula Difference
BAJAJFINSV,Mar 2016,8.69,0.7300000000000004,Formula Difference
BAJAJFINSV,Mar 2017,9.639999999999999,0.21999999999999886,Formula Difference
BAJAJFINSV,Mar 2018,8.67,0.75,Formula Difference
BAJAJFINSV,Mar 2019,10.92,1.5,Formula Difference
BAJAJFINSV,Mar 2020,7.429999999999998,1.990000000000002,Formula Difference
BAJAJFINSV,Mar 2021,8.839999999999998,0.5800000000000018,Formula Difference
BAJAJFINSV,Mar 2022,8.94,0.4800000000000004,Formula Difference
BAJAJFINSV,Mar 2023,14.589999999999998,5.169999999999998,Formula Difference
BAJAJFINSV,Mar 2024,14.13,4.710000000000001,Formula Difference
BAJAJHLDNG,Mar 2022,5.17,3.469999999999999,Formula Difference
BAJFINANCE,Mar 2015,3.3900000000000006,6.8100000000000005,Formula Difference
BAJFINANCE,Mar 2016,4.880000000000003,5.3199999999999985,Formula Difference
BAJFINANCE,Mar 2017,2.9800000000000004,7.220000000000001,Formula Difference
BAJFINANCE,Mar 2018,6.350000000000001,3.8499999999999996,Formula Difference
BAJFINANCE,Mar 2019,1.8200000000000003,8.38,Formula Difference
BAJFINANCE,Mar 2020,5.82,4.380000000000001,Formula Difference
BAJFINANCE,Mar 2021,10.13,0.07000000000000028,Formula Difference
BAJFINANCE,Mar 2022,6.020000000000003,4.179999999999998,Formula Difference
BAJFINANCE,Mar 2023,0.9299999999999997,9.270000000000001,Formula Difference
BAJFINANCE,Mar 2024,3.2600000000000016,6.9399999999999995,Formula Difference
BANKBARODA,Mar 2013,2.1899999999999995,8.18,Formula Difference
BANKBARODA,Mar 2014,3.389999999999999,6.98,Formula Difference
BANKBARODA,Mar 2015,7.299999999999999,3.0700000000000003,Formula Difference
BANKBARODA,Mar 2016,28.54,18.17,Formula Difference
BANKBARODA,Mar 2017,12.39,2.0200000000000005,Formula Difference
BANKBARODA,Mar 2018,20.64,10.27,Formula Difference
BANKBARODA,Mar 2019,14.579999999999998,4.21,Formula Difference
BANKBARODA,Mar 2020,15.41,5.04,Formula Difference
BANKBARODA,Mar 2021,14.729999999999999,4.36,Formula Difference
BANKBARODA,Mar 2022,8.059999999999999,2.3100000000000005,Formula Difference
BANKBARODA,Mar 2023,2.42,7.949999999999999,Formula Difference
BANKBARODA,Mar 2024,0.9399999999999995,9.43,Formula Difference
